"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"at swim-two-birds","Flann O'Brien","1951.0","0.0","76.0","0.0","47.0","0.0","Male","Irish","2.0","",""
"a good man is hard to find","Flannery O'Connor","1953.0","0.0","0.0","61.0","0.0","0.0","Female","European American","1.0","",""
"wise blood","Flannery O'Connor","1952.0","0.0","38.0","0.0","56.0","0.0","Female","European American","2.0","",""
"parade's end","Ford Madox Ford","1925.0","57.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"the good soldier","Ford Madox Ford","1915.0","30.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"dune","Frank Herbert","1965.0","0.0","14.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the song of bernadette","Franz Werfel","1942.0","0.0","0.0","0.0","0.0","27.0","Male","Austrian","1.0","",""
"the book of the new sun"" tetralogy","Gene Wolfe","1981.0","0.0","0.0","0.0","78.0","0.0","Male","European American","1.0","",""
"1984.0","George Orwell","1949.0","13.0","6.0","9.0","0.0","0.0","Male ","British","3.0","",""
"animal farm","George Orwell","1945.0","31.0","20.0","17.0","0.0","0.0","Male ","British","3.0","",""
"black oxen","Gertrude Atherton","1923.0","0.0","0.0","0.0","0.0","11.0","Female","European American","1.0","",""
"the autobiography of alice b. tokias","Gertrude Stein","1933.0","0.0","0.0","78.0","0.0","0.0","Female","European American","1.0","",""
"the making of americans","Gertrude Stein","1925.0","0.0","0.0","0.0","7.0","0.0","Female","European American","1.0","",""
"mulligan stew","Gilbert Sorrentino","1979.0","0.0","0.0","0.0","94.0","0.0","Male","European American","1.0","",""
"the heart of the matter","Graham Greene","1948.0","40.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"mr. britling sees it through","H. G. Wells","1917.0","0.0","0.0","0.0","0.0","5.0","Male","British","1.0","",""
"the war of the worlds","H.G. Wells","1898.0","0.0","0.0","85.0","0.0","0.0","Male","British","1.0","",""
"at the mountains of madness","H.P. Lovecraft","1936.0","0.0","45.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the eyes of the world","Harold Bell Wright","1914.0","0.0","0.0","0.0","0.0","2.0","Male","European American","1.0","",""
"to kill a mockingbird","Harper Lee","1960.0","0.0","5.0","4.0","0.0","0.0","Female","European American","2.0","",""
"tlooth","Harry Mathews","1966.0","0.0","0.0","0.0","73.0","0.0","Male","European American","1.0","",""
"loving","Henry Green","1945.0","89.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"portrait of a lady","Henry James","1881.0","0.0","0.0","35.0","0.0","0.0","Male","European American","1.0","",""
"the ambassadors","Henry James","1903.0","27.0","0.0","0.0","23.0","0.0","Male","European American","2.0","",""
"the bostonians","Henry James","1886.0","0.0","0.0","87.0","0.0","0.0","Male","European American","1.0","",""
"the golden bowl","Henry James","1904.0","32.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the wings of the dove","Henry James","1902.0","26.0","0.0","69.0","0.0","0.0","Male","European American","2.0","",""
"tropic of cancer","Henry Miller","1934.0","50.0","68.0","84.0","37.0","0.0","Male","European American","4.0","",""
"the cardinal","Henry Morton Robinson","1950.0","0.0","0.0","0.0","0.0","35.0","Male","European American","1.0","",""
"marjorie morningstar","Herman Wouk","1955.0","0.0","0.0","0.0","0.0","39.0","Male","European American","1.0","",""
"anthony adverse","Hervey Allen","1934.0","0.0","0.0","0.0","0.0","20.0","Male","European American","1.0","",""
"under the net","Iris Murdoch","1954.0","95.0","0.0","0.0","0.0","0.0","Female","British","1.0","",""
"the agony and the ecstasy","Irving Stone","1961.0","0.0","0.0","0.0","0.0","45.0","Male","European American","1.0","",""
"yellow back radio broke-down","Ishmael Reed","1969.0","0.0","0.0","0.0","86.0","0.0","Male","African American","1.0","",""
"waiting for the barbarians","J. M. Coetzee","1980.0","0.0","0.0","0.0","92.0","0.0","Male","Austrailian","1.0","",""
"the silmarillion","J. R. R. Tolkien and Christopher Tolkien","1977.0","0.0","0.0","0.0","0.0","60.0","Male","British","1.0","",""
"franny and zooey","J.D. Salinger","1961.0","0.0","0.0","54.0","0.0","0.0","Male","European American","1.0","",""
"the catcher in the rye","J.D. Salinger","1951.0","64.0","19.0","2.0","60.0","0.0","Male","European American","4.0","",""
"crash","J.G. Ballard","1973.0","0.0","0.0","0.0","40.0","0.0","Male","British","1.0","",""
"the ginger man","J.P. Donleavy","1955.0","99.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the lord of the rings","J.R.R. Tolkien","1942.0","0.0","4.0","40.0","0.0","0.0","Male","British","2.0","",""
"on the road","Jack Kerouac","1957.0","55.0","42.0","31.0","38.0","0.0","Male","European American","4.0","",""
"the call of the wild","Jack London","1903.0","88.0","75.0","33.0","0.0","0.0","Male","European American","3.0","",""
"shane","Jack Schaefer","1949.0","0.0","26.0","0.0","0.0","0.0","Male","European American","1.0","",""
"valley of the dolls","Jacqueline Susann","1966.0","0.0","0.0","0.0","0.0","50.0","Female","European American","1.0","",""
"centennial","James A. Michener","1974.0","0.0","0.0","0.0","0.0","57.0","Male","European American","1.0","",""
"chesapeake","James A. Michener","1978.0","0.0","0.0","0.0","0.0","61.0","Male","European American","1.0","",""
"the covenant","James A. Michener","1980.0","0.0","0.0","0.0","0.0","63.0","Male","European American","1.0","",""
"the source","James A. Michener","1965.0","0.0","0.0","0.0","0.0","49.0","Male","European American","1.0","",""
"go tell it on the mountain","James Baldwin","1953.0","39.0","0.0","36.0","0.0","0.0","Male","African American","2.0","",""
"noble house","James Clavell","1981.0","0.0","0.0","0.0","0.0","64.0","Male","British","1.0","",""
"deliverance","James Dickey","1970.0","42.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"by love possessed","James Gould Cozzens","1957.0","0.0","0.0","0.0","0.0","41.0","Male","European American","1.0","",""
"from here to eternity","James Jones","1951.0","62.0","0.0","0.0","0.0","36.0","Male","European American","2.0","",""
"a portrait of the artist as a young man","James Joyce","1916.0","3.0","57.0","14.0","21.0","0.0","Male","Irish","4.0","",""
"dubliners","James Joyce","1915.0","0.0","0.0","0.0","63.0","0.0","Male","Irish","1.0","",""
"finnegans wake","James Joyce","1941.0","77.0","0.0","44.0","10.0","0.0","Male","Irish","3.0","",""
"ulysses","James Joyce","1922.0","1.0","11.0","6.0","2.0","0.0","Male","Irish","4.0","",""
"return of the jedi","James Kahn","1983.0","0.0","0.0","0.0","0.0","66.0","Male","European American","1.0","",""
"the postman always rings twice","James M. Cain","1934.0","98.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the studs lonigan trilogy","James T. Farrell","1933.0","29.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the mammoth hunters","Jean M. Auel","1985.0","0.0","0.0","0.0","0.0","68.0","Female","European American","1.0","",""
"the plains of passage","Jean M. Auel","1990.0","0.0","0.0","0.0","0.0","73.0","Female","European American","1.0","",""
"wide sargasso sea","Jean Rhys","1966.0","94.0","0.0","81.0","0.0","0.0","Female","British","2.0","",""
"cane","Jean Toomer","1925.0","0.0","0.0","0.0","64.0","0.0","Male","African American","1.0","",""
"desecration","Jerry B. Jenkins and Tim LaHaye","2001.0","0.0","0.0","0.0","0.0","84.0","Male","European American","1.0","",""
"the sot-weed factor","John Barth","1960.0","0.0","0.0","0.0","42.0","0.0","Male","European American","1.0","",""
"the wapshot chronicles","John Cheever","1957.0","63.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the 42nd parallel","John Dos Passos","1930.0","23.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the private life of helen of troy","John Erskine","1926.0","0.0","0.0","0.0","0.0","14.0","Male","European American","1.0","",""
"the french lieutenant's woman","John Fowles","1969.0","0.0","30.0","93.0","77.0","0.0","Male","British","3.0","",""
"the magus","John Fowles","1966.0","93.0","71.0","0.0","0.0","0.0","Male","British","2.0","",""
"the appeal","John Grisham","2008.0","0.0","0.0","0.0","0.0","90.0","Male","European American","1.0","",""
"the brethren","John Grisham","2000.0","0.0","0.0","0.0","0.0","83.0","Male","European American","1.0","",""
"the broker","John Grisham","2005.0","0.0","0.0","0.0","0.0","87.0","Male","European American","1.0","",""
"the chamber","John Grisham","1994.0","0.0","0.0","0.0","0.0","77.0","Male","European American","1.0","",""
